layer,replicate,n_train,n_oob,update_mse,update_r2
3,30,14353,5287,0.04070919007062912,0.5874144434928894
4,30,14353,5287,0.023310676217079163,0.6295990943908691
5,30,14353,5287,0.024475453421473503,0.6554468274116516
6,30,14353,5287,0.02660048007965088,0.7122266888618469
7,30,14353,5287,0.03336675837635994,0.7688092589378357
8,30,14353,5287,0.04349702596664429,0.7627484798431396
9,30,14353,5287,0.046784594655036926,0.8042711615562439
10,30,14353,5287,0.059718940407037735,0.6947318911552429
11,30,14353,5287,0.13337959349155426,0.709173858165741
0,31,14353,5318,0.011586413718760014,0.8167869448661804
1,31,14353,5318,0.01671576499938965,0.5337907671928406
2,31,14353,5318,0.025453055277466774,0.5975937247276306
3,31,14353,5318,0.040890131145715714,0.5942921042442322
4,31,14353,5318,0.023200443014502525,0.6321447491645813
5,31,14353,5318,0.024347050115466118,0.6562781929969788
6,31,14353,5318,0.026402896270155907,0.7139091491699219
7,31,14353,5318,0.03313785791397095,0.7700555920600891
8,31,14353,5318,0.043257057666778564,0.7632314562797546
9,31,14353,5318,0.04659625515341759,0.8042131066322327
10,31,14353,5318,0.05980701372027397,0.6967436671257019
11,31,14353,5318,0.1376636028289795,0.7102558016777039
0,32,14353,5305,0.011562026105821133,0.8180010914802551
1,32,14353,5305,0.016994675621390343,0.51460200548172
2,32,14353,5305,0.025646641850471497,0.5820624232292175
3,32,14353,5305,0.04122734069824219,0.5791041254997253
4,32,14353,5305,0.023243317380547523,0.6291496157646179
5,32,14353,5305,0.02437344379723072,0.654109001159668
6,32,14353,5305,0.02648984082043171,0.7086095809936523
7,32,14353,5305,0.03334461525082588,0.7668688893318176
8,32,14353,5305,0.042966578155756,0.7637324333190918
9,32,14353,5305,0.04683035984635353,0.8043899536132812
10,32,14353,5305,0.05966310575604439,0.6945252418518066
11,32,14353,5305,0.13268764317035675,0.7096819877624512
0,33,14353,5248,0.011758774518966675,0.8139057159423828
1,33,14353,5248,0.016783544793725014,0.5193285346031189
2,33,14353,5248,0.025502299889922142,0.5858121514320374
3,33,14353,5248,0.04092245176434517,0.5837624073028564
4,33,14353,5248,0.0233930554240942,0.6274859309196472
5,33,14353,5248,0.0244941134005785,0.6519147753715515
6,33,14353,5248,0.026467854157090187,0.7100592255592346
7,33,14353,5248,0.03331182524561882,0.7661396861076355
8,33,14353,5248,0.04344910383224487,0.7607879042625427
9,33,14353,5248,0.047051381319761276,0.8011455535888672
10,33,14353,5248,0.060131847858428955,0.6905609965324402
11,33,14353,5248,0.13420188426971436,0.6933673024177551
0,34,14353,5282,0.01156916469335556,0.8175371289253235
1,34,14353,5282,0.016788600012660027,0.5207071304321289
2,34,14353,5282,0.02552514337003231,0.5849317908287048
3,34,14353,5282,0.04098324850201607,0.5808261036872864
4,34,14353,5282,0.023184211924672127,0.6302921772003174
5,34,14353,5282,0.024401700124144554,0.6539638638496399
6,34,14353,5282,0.02646699734032154,0.7095925807952881
7,34,14353,5282,0.033109020441770554,0.7679319381713867
8,34,14353,5282,0.043448809534311295,0.7611821293830872
9,34,14353,5282,0.04660610854625702,0.8035638928413391
10,34,14353,5282,0.05948222056031227,0.6922460198402405
11,34,14353,5282,0.13277991116046906,0.7004785537719727
0,35,14353,5309,0.011614440940320492,0.8169532418251038
1,35,14353,5309,0.01666996069252491,0.5257880091667175
2,35,14353,5309,0.025449536740779877,0.5889067649841309
3,35,14353,5309,0.04091823101043701,0.5851643681526184
4,35,14353,5309,0.02328343689441681,0.6301739811897278
5,35,14353,5309,0.02449026145040989,0.6522880792617798
6,35,14353,5309,0.026414915919303894,0.7110702991485596
7,35,14353,5309,0.0332692451775074,0.7676404118537903
8,35,14353,5309,0.04329982027411461,0.7607024312019348
9,35,14353,5309,0.04675784334540367,0.8005226254463196
10,35,14353,5309,0.0601004920899868,0.6903659701347351
11,35,14353,5309,0.13441501557826996,0.706916332244873
0,36,14353,5297,0.011413715779781342,0.8200610280036926
1,36,14353,5297,0.01642507128417492,0.5328660011291504
2,36,14353,5297,0.025219112634658813,0.5922027230262756
3,36,14353,5297,0.04077635705471039,0.5882124304771423
4,36,14353,5297,0.02294939197599888,0.633769690990448
5,36,14353,5297,0.024212507531046867,0.6563299298286438
6,36,14353,5297,0.02626863680779934,0.7119102478027344
7,36,14353,5297,0.032872412353754044,0.7681323885917664
8,36,14353,5297,0.043006736785173416,0.760357677936554
9,36,14353,5297,0.046643391251564026,0.8028200268745422
10,36,14353,5297,0.06003832817077637,0.692770779132843
11,36,14353,5297,0.13484179973602295,0.7026419043540955
0,37,14353,5278,0.011376959271728992,0.8190659880638123
1,37,14353,5278,0.016446692869067192,0.5288753509521484
2,37,14353,5278,0.02537660300731659,0.590939998626709
3,37,14353,5278,0.0409260168671608,0.5874925851821899
4,37,14353,5278,0.023281753063201904,0.6305542588233948
5,37,14353,5278,0.02438409812748432,0.6545259356498718
6,37,14353,5278,0.026488594710826874,0.710719883441925
7,37,14353,5278,0.03336281701922417,0.7670480608940125
8,37,14353,5278,0.043058525770902634,0.7598569393157959
9,37,14353,5278,0.046905457973480225,0.8017340302467346
10,37,14353,5278,0.0597679428756237,0.6929535865783691
11,37,14353,5278,0.13507872819900513,0.7019241452217102
0,38,14353,5244,0.011790166608989239,0.8145108222961426
1,38,14353,5244,0.017093578353524208,0.5213339924812317
2,38,14353,5244,0.02577819861471653,0.5862082242965698
3,38,14353,5244,0.04129614308476448,0.5832290649414062
4,38,14353,5244,0.023255720734596252,0.6303256154060364
5,38,14353,5244,0.02426224946975708,0.6539917588233948
6,38,14353,5244,0.026216721162199974,0.70860356092453
7,38,14353,5244,0.03322936221957207,0.7661841511726379
8,38,14353,5244,0.043081462383270264,0.7614443898200989
9,38,14353,5244,0.046614933758974075,0.8036835789680481
10,38,14353,5244,0.05986514315009117,0.693244218826294
11,38,14353,5244,0.1379215568304062,0.7065002918243408
0,39,14353,5311,0.01194849330931902,0.8126118183135986
1,39,14353,5311,0.017155051231384277,0.5099388360977173
2,39,14353,5311,0.025722378864884377,0.5824167132377625
3,39,14353,5311,0.0412561260163784,0.5814072489738464
4,39,14353,5311,0.02335243485867977,0.6273996233940125
5,39,14353,5311,0.02464163303375244,0.6531438231468201
6,39,14353,5311,0.02651998959481716,0.711165189743042
7,39,14353,5311,0.03332062438130379,0.7663275599479675
8,39,14353,5311,0.04324835538864136,0.761340856552124
9,39,14353,5311,0.04699985682964325,0.8024167418479919
10,39,14353,5311,0.06019044294953346,0.6915459632873535
11,39,14353,5311,0.13512051105499268,0.70533686876297
0,40,14353,5309,0.011348791420459747,0.8208411335945129
1,40,14353,5309,0.01640363782644272,0.5322548151016235
2,40,14353,5309,0.025066187605261803,0.5934162735939026
3,40,14353,5309,0.040531229227781296,0.5885610580444336
4,40,14353,5309,0.023161806166172028,0.631493091583252
5,40,14353,5309,0.024433469399809837,0.6548497080802917
6,40,14353,5309,0.026247382164001465,0.7096408009529114
7,40,14353,5309,0.03300559148192406,0.7672737240791321
8,40,14353,5309,0.04316871240735054,0.7615203857421875
9,40,14353,5309,0.04665820673108101,0.8047127723693848
10,40,14353,5309,0.059716641902923584,0.6955353617668152
11,40,14353,5309,0.13287323713302612,0.7048549056053162
0,41,14353,5290,0.01163878571242094,0.8155052065849304
1,41,14353,5290,0.016647636890411377,0.5244808197021484
2,41,14353,5290,0.02541055716574192,0.5895441770553589
3,41,14353,5290,0.04101620987057686,0.5869908928871155
4,41,14353,5290,0.0231881532818079,0.6309659481048584
