layer,replicate,n_train,n_oob,update_mse,update_r2
4,21,14353,5256,0.03196755051612854,0.5187308192253113
5,21,14353,5256,0.03053889237344265,0.5868149995803833
6,21,14353,5256,0.03162151947617531,0.6262533068656921
7,21,14353,5256,0.03946850821375847,0.6773034930229187
8,21,14353,5256,0.04655052721500397,0.6707286238670349
9,21,14353,5256,0.0597880482673645,0.6731827855110168
10,21,14353,5256,0.08083038032054901,0.5811517238616943
11,21,14353,5256,0.4198102056980133,0.5614174008369446
0,22,14353,5298,0.017384782433509827,0.7693961262702942
1,22,14353,5298,0.022623680531978607,0.33719968795776367
2,22,14353,5298,0.03633631765842438,0.4251053035259247
3,22,14353,5298,0.06222764775156975,0.5042715668678284
4,22,14353,5298,0.03199402615427971,0.5163425803184509
5,22,14353,5298,0.03066658414900303,0.5871860980987549
6,22,14353,5298,0.03191215917468071,0.6252806782722473
7,22,14353,5298,0.03993716090917587,0.6773540377616882
8,22,14353,5298,0.04728575423359871,0.6707059741020203
9,22,14353,5298,0.06065602973103523,0.6721773147583008
10,22,14353,5298,0.08144547790288925,0.5757066607475281
11,22,14353,5298,0.4253316819667816,0.5558528304100037
0,23,14353,5274,0.017442801967263222,0.7673792243003845
1,23,14353,5274,0.022422591224312782,0.34209880232810974
2,23,14353,5274,0.03633655607700348,0.4435868561267853
3,23,14353,5274,0.061265408992767334,0.5283784866333008
4,23,14353,5274,0.03184766694903374,0.5192690491676331
5,23,14353,5274,0.03030773065984249,0.5861631035804749
6,23,14353,5274,0.03169335424900055,0.6280877590179443
7,23,14353,5274,0.039526477456092834,0.6791474223136902
8,23,14353,5274,0.04724126681685448,0.6706081032752991
9,23,14353,5274,0.060211747884750366,0.674380362033844
10,23,14353,5274,0.08100581914186478,0.5820344686508179
11,23,14353,5274,0.41595926880836487,0.5617271661758423
0,24,14353,5293,0.017619790509343147,0.7674829363822937
1,24,14353,5293,0.02268543653190136,0.3489934504032135
2,24,14353,5293,0.03613746538758278,0.4499460756778717
3,24,14353,5293,0.06494715064764023,0.5307187438011169
4,24,14353,5293,0.03189709410071373,0.518598735332489
5,24,14353,5293,0.030225729569792747,0.5886760354042053
6,24,14353,5293,0.031614333391189575,0.6277614235877991
7,24,14353,5293,0.03961297124624252,0.67828369140625
8,24,14353,5293,0.04672141745686531,0.6704983711242676
9,24,14353,5293,0.05999156832695007,0.6709508895874023
10,24,14353,5293,0.08105794340372086,0.581937313079834
11,24,14353,5293,0.42876100540161133,0.5547422766685486
0,25,14353,5345,0.017327241599559784,0.7684009075164795
1,25,14353,5345,0.022424980998039246,0.34187301993370056
2,25,14353,5345,0.036054085940122604,0.43890380859375
3,25,14353,5345,0.06352683901786804,0.5175221562385559
4,25,14353,5345,0.031809065490961075,0.5184917449951172
5,25,14353,5345,0.03064747154712677,0.5851659178733826
6,25,14353,5345,0.031858980655670166,0.6265657544136047
7,25,14353,5345,0.03950342908501625,0.6786275506019592
8,25,14353,5345,0.047028154134750366,0.6719099879264832
9,25,14353,5345,0.06045497581362724,0.6738717555999756
10,25,14353,5345,0.08150371164083481,0.5791800022125244
11,25,14353,5345,0.42309319972991943,0.5627992749214172
0,26,14353,5310,0.017709694802761078,0.7656025886535645
